"Fradato";"Tildato";"Forbrug i kroner"
"=""01-04-2023 00:00""";"=""01-04-2023 01:00""";"0,19 kr."
"=""01-04-2023 01:00""";"=""01-04-2023 02:00""";"0,64 kr."
"=""01-04-2023 02:00""";"=""01-04-2023 03:00""";"0,45 kr."
"=""01-04-2023 03:00""";"=""01-04-2023 04:00""";"0,08 kr."
"=""01-04-2023 04:00""";"=""01-04-2023 05:00""";"0,10 kr."
"=""01-04-2023 05:00""";"=""01-04-2023 06:00""";"0,09 kr."
"=""01-04-2023 06:00""";"=""01-04-2023 07:00""";"0,14 kr."
"=""01-04-2023 07:00""";"=""01-04-2023 08:00""";"0,19 kr."
"=""01-04-2023 08:00""";"=""01-04-2023 09:00""";"1,46 kr."
"=""01-04-2023 09:00""";"=""01-04-2023 10:00""";"1,76 kr."
"=""01-04-2023 10:00""";"=""01-04-2023 11:00""";"0,50 kr."
"=""01-04-2023 11:00""";"=""01-04-2023 12:00""";"0,39 kr."
"=""01-04-2023 12:00""";"=""01-04-2023 13:00""";"0,49 kr."
"=""01-04-2023 13:00""";"=""01-04-2023 14:00""";"0,83 kr."
"=""01-04-2023 14:00""";"=""01-04-2023 15:00""";"0,73 kr."
"=""01-04-2023 15:00""";"=""01-04-2023 16:00""";"0,29 kr."
"=""01-04-2023 16:00""";"=""01-04-2023 17:00""";"0,28 kr."
"=""01-04-2023 17:00""";"=""01-04-2023 18:00""";"0,44 kr."
"=""01-04-2023 18:00""";"=""01-04-2023 19:00""";"2,12 kr."
"=""01-04-2023 19:00""";"=""01-04-2023 20:00""";"1,03 kr."
"=""01-04-2023 20:00""";"=""01-04-2023 21:00""";"0,46 kr."
"=""01-04-2023 21:00""";"=""01-04-2023 22:00""";"0,24 kr."
"=""01-04-2023 22:00""";"=""01-04-2023 23:00""";"0,24 kr."
"=""01-04-2023 23:00""";"=""02-04-2023 00:00""";"0,40 kr."
"=""02-04-2023 00:00""";"=""02-04-2023 01:00""";"0,41 kr."
"=""02-04-2023 01:00""";"=""02-04-2023 02:00""";"0,14 kr."
"=""02-04-2023 02:00""";"=""02-04-2023 03:00""";"0,14 kr."
"=""02-04-2023 03:00""";"=""02-04-2023 04:00""";"0,11 kr."
"=""02-04-2023 04:00""";"=""02-04-2023 05:00""";"0,08 kr."
"=""02-04-2023 05:00""";"=""02-04-2023 06:00""";"0,08 kr."
"=""02-04-2023 06:00""";"=""02-04-2023 07:00""";"0,11 kr."
"=""02-04-2023 07:00""";"=""02-04-2023 08:00""";"0,11 kr."
"=""02-04-2023 08:00""";"=""02-04-2023 09:00""";"0,12 kr."
"=""02-04-2023 09:00""";"=""02-04-2023 10:00""";"0,21 kr."
"=""02-04-2023 10:00""";"=""02-04-2023 11:00""";"0,94 kr."
"=""02-04-2023 11:00""";"=""02-04-2023 12:00""";"1,47 kr."
"=""02-04-2023 12:00""";"=""02-04-2023 13:00""";"0,46 kr."
"=""02-04-2023 13:00""";"=""02-04-2023 14:00""";"1,54 kr."
"=""02-04-2023 14:00""";"=""02-04-2023 15:00""";"0,91 kr."
"=""02-04-2023 15:00""";"=""02-04-2023 16:00""";"0,86 kr."
"=""02-04-2023 16:00""";"=""02-04-2023 17:00""";"1,20 kr."
"=""02-04-2023 17:00""";"=""02-04-2023 18:00""";"0,64 kr."
"=""02-04-2023 18:00""";"=""02-04-2023 19:00""";"0,49 kr."
"=""02-04-2023 19:00""";"=""02-04-2023 20:00""";"1,58 kr."
"=""02-04-2023 20:00""";"=""02-04-2023 21:00""";"0,49 kr."
"=""02-04-2023 21:00""";"=""02-04-2023 22:00""";"0,37 kr."
"=""02-04-2023 22:00""";"=""02-04-2023 23:00""";"1,44 kr."
"=""02-04-2023 23:00""";"=""03-04-2023 00:00""";"1,00 kr."
"=""03-04-2023 00:00""";"=""03-04-2023 01:00""";"0,30 kr."
"=""03-04-2023 01:00""";"=""03-04-2023 02:00""";"0,25 kr."
"=""03-04-2023 02:00""";"=""03-04-2023 03:00""";"0,24 kr."
"=""03-04-2023 03:00""";"=""03-04-2023 04:00""";"0,20 kr."
"=""03-04-2023 04:00""";"=""03-04-2023 05:00""";"0,14 kr."
"=""03-04-2023 05:00""";"=""03-04-2023 06:00""";"0,15 kr."
"=""03-04-2023 06:00""";"=""03-04-2023 07:00""";"0,28 kr."
"=""03-04-2023 07:00""";"=""03-04-2023 08:00""";"0,36 kr."
"=""03-04-2023 08:00""";"=""03-04-2023 09:00""";"0,63 kr."
"=""03-04-2023 09:00""";"=""03-04-2023 10:00""";"1,51 kr."
"=""03-04-2023 10:00""";"=""03-04-2023 11:00""";"0,34 kr."
"=""03-04-2023 11:00""";"=""03-04-2023 12:00""";"0,25 kr."
"=""03-04-2023 12:00""";"=""03-04-2023 13:00""";"0,33 kr."
"=""03-04-2023 13:00""";"=""03-04-2023 14:00""";"0,30 kr."
"=""03-04-2023 14:00""";"=""03-04-2023 15:00""";"0,27 kr."
"=""03-04-2023 15:00""";"=""03-04-2023 16:00""";"0,35 kr."
