Fradato;Tildato;Forbrug i kroner
05-05-2023 10:00;05-05-2023 11:00;0,12 kr.
05-05-2023 11:00;05-05-2023 12:00;0,10 kr.
05-05-2023 12:00;05-05-2023 13:00;0,17 kr.
05-05-2023 13:00;05-05-2023 14:00;0,12 kr.
05-05-2023 14:00;05-05-2023 15:00;0,12 kr.
05-05-2023 15:00;05-05-2023 16:00;0,11 kr.
05-05-2023 16:00;05-05-2023 17:00;0,14 kr.
05-05-2023 17:00;05-05-2023 18:00;0,35 kr.
05-05-2023 18:00;05-05-2023 19:00;0,42 kr.
05-05-2023 19:00;05-05-2023 20:00;0,52 kr.
05-05-2023 20:00;05-05-2023 21:00;0,44 kr.
05-05-2023 21:00;05-05-2023 22:00;0,38 kr.
05-05-2023 22:00;05-05-2023 23:00;0,27 kr.
05-05-2023 23:00;06-05-2023 00:00;0,26 kr.
06-05-2023 00:00;06-05-2023 01:00;0,24 kr.
06-05-2023 01:00;06-05-2023 02:00;0,15 kr.
06-05-2023 02:00;06-05-2023 03:00;0,12 kr.
06-05-2023 03:00;06-05-2023 04:00;0,13 kr.
06-05-2023 04:00;06-05-2023 05:00;0,19 kr.
06-05-2023 05:00;06-05-2023 06:00;0,19 kr.
06-05-2023 06:00;06-05-2023 07:00;0,21 kr.
06-05-2023 07:00;06-05-2023 08:00;0,19 kr.
06-05-2023 08:00;06-05-2023 09:00;0,20 kr.
06-05-2023 09:00;06-05-2023 10:00;0,21 kr.
06-05-2023 10:00;06-05-2023 11:00;0,85 kr.
06-05-2023 11:00;06-05-2023 12:00;0,50 kr.
06-05-2023 12:00;06-05-2023 13:00;0,30 kr.
06-05-2023 13:00;06-05-2023 14:00;0,23 kr.
06-05-2023 14:00;06-05-2023 15:00;0,23 kr.
06-05-2023 15:00;06-05-2023 16:00;0,27 kr.
06-05-2023 16:00;06-05-2023 17:00;0,76 kr.
06-05-2023 17:00;06-05-2023 18:00;1,41 kr.
06-05-2023 18:00;06-05-2023 19:00;0,44 kr.
06-05-2023 19:00;06-05-2023 20:00;0,58 kr.
06-05-2023 20:00;06-05-2023 21:00;0,34 kr.
06-05-2023 21:00;06-05-2023 22:00;0,30 kr.
06-05-2023 22:00;06-05-2023 23:00;0,28 kr.
06-05-2023 23:00;07-05-2023 00:00;0,24 kr.
